name,date,event,role,fee
Dianne Buckner,2014-11-20,Aboriginal Chamber of Commerce,Speech,Paid
Dianne Buckner,2014-11-19,Private Growth Awards,Host,Paid
Mike Finnerty,2014-11-18,"Old Mission Brewery, Sun Youth and Dans La Rue: Socks for Bubbly",Host,Unpaid
Dan Burritt,2014-11-18,BC Non-Profit Housing Conference,Speech,Unpaid
John Sauder,2014-11-18,Ecole Howden Elementary School,Lecture,Unpaid
Leisha Grebinski,2014-11-18,University of Saskatchewan W. Brett Wilson Pitch Party,Host,Unpaid
Mike Finnerty,2014-11-18,"Old Mission Brewery, Sun Youth and Dans La Rue: Socks for Bubbly",Host,Unpaid
Amanda Lang,2014-11-18,Vaughan Chamber of Commerce,Speech,Paid
Rick Cluff,2014-11-17,Vancouver Magazine Power 50 Awards,Host,Unpaid
Marcy Markusa,2014-11-17,Winnipeg BIZ Transit Oriented Development Public Forum,Moderator,Unpaid
Bruce Rainnie,2014-11-17,Stonepark School Literacy Day,Speech,Unpaid
Sudha Krishnan,2014-11-16,Teesri Duniya Theatre post show artists panel,Moderator,Unpaid
Matt Galloway,2014-11-16,Inspire! TO Int'l Book Fair,Host,Unpaid
Mary Ito,2014-11-16,Inspire! TO Int'l Book Fair,Host,Unpaid
Sudha Krishnan,2014-11-16,Teesri Duniya Theatre post show artists panel,Moderator,Unpaid
David Common,2014-11-16,Seneca College Alumni Event,Speech,Unpaid
Ismaila Alfa,2014-11-15,Santa Claus Parade,Host,Unpaid
Marcy Markusa,2014-11-15,Santa Claus Parade,Host,Unpaid
Terry MacLeod,2014-11-15,Santa Claus Parade,Host,Unpaid
John Sauder,2014-11-15,Santa Claus Parade,Host,Unpaid
Trevor Dineen,2014-11-15,Santa Claus Parade,Host,Unpaid
Janet Stewart,2014-11-15,Santa Claus Parade,Host,Unpaid
Nil Koksal,2014-11-15,Inspire! TO Int'l Book Fair,Host,Unpaid
Laurence Wall,2014-11-15,Opera Lyra Gala,Host,Unpaid
Wendy Bergfeldt,2014-11-15,Interfaith Symposium,Moderator,Unpaid
Steve Sutherland,2014-11-15,Cape Breton Hospital Foundation Festival of the Greens,Host,Unpaid
Sonali Karnick,2014-11-14,Fédération de Soccer du Québec Awards Night,Host,Unpaid
Juanita Taylo,2014-11-14,Indigenous Circumpolar Women's Leadership Conference,Host,Unpaid
Jill Morgan,2014-11-14,Regina Folk Festival Concert Series  - Buck 65,Host,Unpaid
Gill Deacon,2014-11-14,Inspire! TO Int'l Book Fair,Reading,Unpaid
Sonali Karnick,2014-11-14,Fédération de Soccer du Québec Awards Night,Host,Unpaid
Peter Mansbridge,2014-11-14,2014 John W. Holmes Memorial Lecture on International Affairs,Speech,Unpaid
Waub Rice,2014-11-13,OCSB - Aborigional Education Committee : Community Feast,Host,Unpaid
Waub Rice,2014-11-13,Ottawa-Carleton District School Board : Community Feast,Host,Unpaid
Susan Ormiston,2014-11-13,Waterloo University Ukraine panel discussion,Panelist,Unpaid
Diana Swain,2014-11-13,Canadian Society for Training and Development Conference,Host,Paid
Dianne Buckner,2014-11-13,Credit Education Week Gala,Speech,Paid
Heather Hiscox,2014-11-13,Ontario Tourism Awards Gala,Host,Paid
Amanda Lang,2014-11-12,Polish: Dress for Success,Speech,Unpaid
Dianne Buckner,2014-11-12,ITAC Ingenious Awards,Host,Paid
David Gray,2014-11-11,Flame of Remembrance ceremony,Host,Unpaid
Stephanie Domet,2014-11-10,Frontier College fundraiser,Host,Unpaid
Tony Doucette,2014-11-09,Windsor Community Orchestra Annual Cabaret,Host,Unpaid
Mario Carlucci,2014-11-09,"International Association of Business Communicators : ""Meet the Press""",Panelist,Unpaid
David Gray,2014-11-08,From Liberation to Canada: A conversation with Dutch-born Piep Campbell on her journey after the liberation,Host,Unpaid
